type,id,title,url,points,language
question,J01,J01 Japan QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r15hn85q,10,ja
question,J02,J02 Japan QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r157nmgr,10,ja
question,J03,J03 Japan QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r14xo0rs,10,ja
question,J04,J04 Japan QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r16vl8ml,10,ja
question,J05,J05 Japan QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r16llmxm,10,ja
question,J06,J06 Japan QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r16bm18n,10,ja
question,J07,J07 Japan QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r161mfjo,10,ja
question,J08,J08 Japan QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r13jq0ax,10,ja
question,J09,J09 Japan QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r139qely,10,ja
question,J10,J10 Japan QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r04l0xeg,10,ja
question,J11,J11 Japan QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r04v0j3f,10,ja
question,J12,J12 Japan QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r05504se,10,ja
question,J13,J13 Japan QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r05ezqhd,10,ja
question,J14,J14 Japan QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r05ozc6c,10,ja
question,J15,J15 Japan QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r05yyxvb,10,ja
question,J16,J16 Japan QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r068yjka,10,ja
question,J17,J17 Japan QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r06iy599,10,ja
question,J18,J18 Japan QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r02d43uo,10,ja
question,J19,J19 Japan QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r02n3pjn,10,ja
question,J20,J20 Japan QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r10812z7,10,ja
question,C01,C01 Culture QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r04e7xj5,10,zh-Hant
question,C02,C02 Culture QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r03k94g8,10,zh-Hant
question,C03,C03 Culture QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r03u8q57,10,zh-Hant
question,C04,C04 Culture QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r0586qm2,10,zh-Hant
question,C05,C05 Culture QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r05i6cb1,10,zh-Hant
question,C06,C06 Culture QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r04o7j84,10,zh-Hant
question,C07,C07 Culture QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r04y74x3,10,zh-Hant
question,C08,C08 Culture QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r01wbiae,10,zh-Hant
question,C09,C09 Culture QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r026b3zd,10,zh-Hant
question,C10,C10 Culture QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r05s93hz,10,zh-Hant
question,C11,C11 Culture QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r05i9ht0,10,zh-Hant
question,C12,C12 Culture QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r06c8avx,10,zh-Hant
question,C13,C13 Culture QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r0628p6y,10,zh-Hant
question,C14,C14 Culture QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r04oaoq3,10,zh-Hant
question,C15,C15 Culture QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r04eb314,10,zh-Hant
question,C16,C16 Culture QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r0589w41,10,zh-Hant
question,C17,C17 Culture QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r04yaaf2,10,zh-Hant
question,C18,C18 Culture QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r03kc9y7,10,zh-Hant
question,C19,C19 Culture QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r03aco98,10,zh-Hant
question,C20,C20 Culture QR,https://ryonma-git.github.io/taiwan-exchange-rally/?q=r00s6sik,10,zh-Hant
treasure,T01,Treasure QR T01,https://ryonma-git.github.io/taiwan-exchange-rally/?treasure=r16izxik,translation-key +1,all
treasure,T02,Treasure QR T02,https://ryonma-git.github.io/taiwan-exchange-rally/?treasure=r17cyqlh,translation-key +1,all
